Municipality Code,State,Municipality,Population,Observed Deaths,Deaths Counterfactual,Deaths Averted,Percent of Counterfactual Deaths Averted,"Observed Death Rate, per 100,000","Counterfactual Death Rate, per 100,000","Averted Death Rate, per 100,000"
230430,Ceará,Farias Brito,19330,16,172.6273379,156.6273379,90.73147962,82.77289188,893.0539983,810.2811065
230440,Ceará,Fortaleza,2703391,7316,18143.8177,10827.8177,59.67772538,270.6230804,671.1503331,400.5272527
230445,Ceará,Fortim,16776,10,12.02228526,2.022285258,16.82113853,59.60896519,71.66359834,12.05463316
230450,Ceará,Frecheirinha,14195,4,8.345345849,4.345345849,52.06909249,28.17893625,58.79074216,30.61180591
230460,Ceará,General Sampaio,7767,4,25.49771019,21.49771019,84.31231679,51.49993563,328.2826084,276.7826727
230470,Ceará,Granja,55170,35,89.4663882,54.4663882,60.87916288,63.44027551,162.1649233,98.72464781
230480,Ceará,Granjeiro,4784,0,0,0,NA,0,0,0
230495,Ceará,Guaiúba,26508,20,30.47687064,10.47687064,34.37646457,75.44892108,114.9723504,39.52342929
230500,Ceará,Guaraciaba do Norte,40921,33,88.6697701,55.6697701,62.78325752,80.64319054,216.6852474,136.0420569
230520,Ceará,Hidrolândia,20126,5,67.62463957,62.62463957,92.60624525,24.84348604,336.0063578,311.1628717
230523,Ceará,Horizonte,69688,13,53.48396338,40.48396338,75.69364875,18.65457468,76.74773761,58.09316293
230530,Ceará,Ibiapina,25165,10,20.55415922,10.55415922,51.34804642,39.73773098,81.67756494,41.93983396
230535,Ceará,Icapuí,20183,10,18.17291071,8.172910715,44.9730417,49.54664817,90.04068134,40.49403317
230540,Ceará,Icó,68303,98,382.6140624,284.6140624,74.38672291,143.4783245,560.1716797,416.6933552
230550,Ceará,Iguatu,103633,147,344.752527,197.752527,57.36071863,141.8467091,332.6667442,190.8200351
230560,Ceará,Independência,26196,5,44.67000329,39.67000329,88.80680629,19.08688349,170.5222297,151.4353462
230565,Ceará,Ipaporanga,11597,0,0,0,NA,0,0,0
230570,Ceará,Ipaumirim,12507,7,48.48393513,41.48393513,85.56222802,55.96865755,387.6543946,331.685737
230580,Ceará,Ipu,42148,15,114.3527785,99.35277848,86.88269739,35.58887729,271.3124667,235.7235895
230590,Ceará,Ipueiras,38064,8,34.33041478,26.33041478,76.69704823,21.01723413,90.19129566,69.17406153
230600,Ceará,Iracema,14351,4,14.03210327,10.03210327,71.49393842,27.87262212,97.777878,69.90525589
230620,Ceará,Itaiçaba,7904,5,56.47437708,51.47437708,91.14642736,63.25910931,714.5037587,651.2446493
